name,population
"Boulder County, CO",326078
"Broomfield County, CO",69267
"Chaffee County, CO",20027
"Cheyenne County, NE",9310
"Clear Creek County, CO",9605
"Conejos County, CO",8200
"Costilla County, CO",3828
"Crowley County, CO",5858
"Custer County, SD",8726
"Delta County, TX",5349
"Denver County, CO",716492
"Dolores County, CO",2074
"Douglas County, WI",43208
"Eagle County, CO",54993
"Elbert County, GA",19120
"El Paso County, TX",840758
"Fremont County, WY",39531
"Garfield County, WA",2247
"Gilpin County, CO",6121
"Grand County, UT",9764
"Gunnison County, CO",17246
"Hinsdale County, CO",811
"Huerfano County, CO",6889
"Kiowa County, OK",8729
"Kit Carson County, CO",7163
"La Plata County, CO",56310
"Larimer County, CO",350518
"Las Animas County, CO",14503
"Mesa County, CO",153207
"Mineral County, WV",26940
"Moffat County, CO",13188
"Montezuma County, CO",26158
"Montrose County, CO",42214
"Otero County, NM",66781
"Ouray County, CO",4833
"Park County, WY",29324
"Pitkin County, CO",17950
"Prowers County, CO",12164
"Pueblo County, CO",167529
"Rio Blanco County, CO",6336
"Rio Grande County, CO",11250
"Routt County, CO",25733
"Saguache County, CO",6843
"San Juan County, WA",17128
"San Miguel County, NM",27591
"Sedgwick County, KS",513607
"Summit County, UT",41933
"Teller County, CO",25083
"Weld County, CO",314305
"Fairfield County, SC",22402
"Hartford County, CT",892697
"Litchfield County, CT",181111
"Middlesex County, VA",10769
"New Haven County, CT",857620
"New London County, CT",266784
"Tolland County, CT",150921
"Windham County, VT",42756
"Kent County, TX",726
"New Castle County, DE",559335
"Sussex County, VA",11237
"District of Columbia, DC",702455
"Alachua County, FL",269956
"Baker County, OR",16006
"Bay County, MI",103923
"Bradford County, PA",60833
"Brevard County, FL",596849
"Broward County, FL",1951260
"Charlotte County, VA",11938
"Citrus County, FL",147929
"Collier County, FL",378488
"DeSoto County, MS",182001
"Dixie County, FL",16700
"Duval County, TX",11212
"Flagler County, FL",112067
"Gadsden County, FL",45894
"Gilchrist County, FL",18256
